LOGOTIME,trap-xcor,trap-ycor
2010-01-01 12:00:08.209,1,3
2010-01-01 12:00:08.226,11,3
2010-01-01 12:00:08.233,4,16
2010-01-01 12:00:08.249,14,9
2010-01-01 12:00:08.250,13,0
2010-01-01 12:00:08.271,-3,14
2010-01-01 12:00:08.277,3,0
2010-01-01 12:00:08.310,4,-5
2010-01-01 12:00:08.314,13,-2
2010-01-01 12:00:08.327,-1,8
2010-01-01 12:00:08.332,13,-6
2010-01-01 12:00:08.361,2,13
2010-01-01 12:00:08.400,10,-6
2010-01-01 12:00:08.443,-3,9
2010-01-01 12:00:08.445,-8,3
2010-01-01 12:00:08.476,16,15
2010-01-01 12:00:08.483,13,13
2010-01-01 12:00:08.485,2,-9
2010-01-01 12:00:08.486,0,-1
2010-01-01 12:00:08.533,-9,6
2010-01-01 12:00:08.550,-2,10
2010-01-01 12:00:08.558,16,4
2010-01-01 12:00:08.560,7,5
2010-01-01 12:00:08.598,7,0
2010-01-01 12:00:08.618,6,-11
2010-01-01 12:00:08.620,6,-1
2010-01-01 12:00:08.644,6,10
2010-01-01 12:00:08.655,10,-4
2010-01-01 12:00:08.661,10,-5
2010-01-01 12:00:08.681,0,16
2010-01-01 12:00:08.685,11,12
2010-01-01 12:00:08.715,13,15
2010-01-01 12:00:08.722,5,-6
2010-01-01 12:00:08.724,-8,12
2010-01-01 12:00:08.725,0,7
2010-01-01 12:00:08.731,3,13
2010-01-01 12:00:08.735,8,1
2010-01-01 12:00:08.746,10,-1
2010-01-01 12:00:08.763,-3,7
2010-01-01 12:00:08.778,12,-9
2010-01-01 12:00:08.786,4,2
2010-01-01 12:00:08.817,1,9
2010-01-01 12:00:08.818,14,6
2010-01-01 12:00:08.834,-5,12
2010-01-01 12:00:08.838,-7,14
2010-01-01 12:00:08.838,11,5
2010-01-01 12:00:08.842,-1,-2
2010-01-01 12:00:08.846,6,12
2010-01-01 12:00:08.852,9,-15
2010-01-01 12:00:08.895,11,13
2010-01-01 12:00:08.896,6,14
2010-01-01 12:00:08.906,-7,4
2010-01-01 12:00:08.906,-7,7
2010-01-01 12:00:08.938,10,12
2010-01-01 12:00:08.940,8,-9
2010-01-01 12:00:08.941,3,-14
2010-01-01 12:00:08.948,4,-4
2010-01-01 12:00:08.975,2,2
2010-01-01 12:00:08.979,1,5
2010-01-01 12:00:08.988,14,3
2010-01-01 12:00:09.028,11,-1
2010-01-01 12:00:09.039,12,-2
2010-01-01 12:00:09.097,7,-6
2010-01-01 12:00:09.111,7,9
2010-01-01 12:00:09.122,-2,7
2010-01-01 12:00:09.173,2,11
2010-01-01 12:00:09.192,-1,7
2010-01-01 12:00:09.200,16,8
2010-01-01 12:00:09.206,-2,13
2010-01-01 12:00:09.225,14,-8
2010-01-01 12:00:09.228,0,-11
2010-01-01 12:00:09.260,4,12
2010-01-01 12:00:09.264,12,3
2010-01-01 12:00:09.273,3,9
2010-01-01 12:00:09.282,8,15
2010-01-01 12:00:09.288,-7,2
2010-01-01 12:00:09.290,3,-9
2010-01-01 12:00:09.305,15,-1
2010-01-01 12:00:09.310,14,-6
2010-01-01 12:00:09.310,7,-3
2010-01-01 12:00:09.326,12,16
2010-01-01 12:00:09.329,5,3
2010-01-01 12:00:09.338,7,-14
2010-01-01 12:00:09.339,3,3
2010-01-01 12:00:09.374,-4,10
2010-01-01 12:00:09.378,0,-5
2010-01-01 12:00:09.406,1,-5
2010-01-01 12:00:09.408,1,14
2010-01-01 12:00:09.418,4,-3
2010-01-01 12:00:09.422,-9,2
2010-01-01 12:00:09.435,-1,14
2010-01-01 12:00:09.435,15,2
2010-01-01 12:00:09.438,1,-7
2010-01-01 12:00:09.440,-10,1
2010-01-01 12:00:09.443,6,15
2010-01-01 12:00:09.453,16,0
2010-01-01 12:00:09.457,-2,15
2010-01-01 12:00:09.458,9,16
2010-01-01 12:00:09.460,-7,11
2010-01-01 12:00:09.484,-2,12
2010-01-01 12:00:09.491,6,-12
2010-01-01 12:00:09.493,2,8
2010-01-01 12:00:09.505,-3,-5
2010-01-01 12:00:09.516,5,15
2010-01-01 12:00:09.525,-5,6
2010-01-01 12:00:09.538,11,8
2010-01-01 12:00:09.574,16,7
2010-01-01 12:00:09.595,-6,7
2010-01-01 12:00:09.596,4,-10
2010-01-01 12:00:09.600,11,-4
2010-01-01 12:00:09.606,16,6
2010-01-01 12:00:09.614,0,15
2010-01-01 12:00:09.639,-12,2
2010-01-01 12:00:09.704,1,-3
2010-01-01 12:00:09.714,-7,5
2010-01-01 12:00:09.717,-1,15
2010-01-01 12:00:09.728,11,-12
2010-01-01 12:00:09.732,4,-11
2010-01-01 12:00:09.743,-7,10
2010-01-01 12:00:09.774,13,9
2010-01-01 12:00:09.780,6,1
2010-01-01 12:00:09.785,11,-14
2010-01-01 12:00:09.791,8,-4
2010-01-01 12:00:09.792,9,-8
2010-01-01 12:00:09.808,-8,15
2010-01-01 12:00:09.822,8,11
2010-01-01 12:00:09.823,-10,9
2010-01-01 12:00:09.834,7,13
2010-01-01 12:00:09.854,12,9
2010-01-01 12:00:09.879,16,2
2010-01-01 12:00:09.900,11,-2
2010-01-01 12:00:09.900,-8,5
2010-01-01 12:00:09.900,11,11
2010-01-01 12:00:09.904,0,-6
2010-01-01 12:00:09.922,6,13
2010-01-01 12:00:09.935,9,-2
2010-01-01 12:00:09.963,14,4
2010-01-01 12:00:09.986,-14,6
2010-01-01 12:00:09.999,-4,-4
2010-01-01 12:00:10.000,5,-9
2010-01-01 12:00:10.017,-2,-7
2010-01-01 12:00:10.072,-12,13
2010-01-01 12:00:10.096,-2,-10
2010-01-01 12:00:10.098,5,10
2010-01-01 12:00:10.099,14,11
2010-01-01 12:00:10.108,5,16
2010-01-01 12:00:10.113,-4,15
2010-01-01 12:00:10.115,11,9
2010-01-01 12:00:10.138,15,-9
2010-01-01 12:00:10.142,15,-5
2010-01-01 12:00:10.145,-3,4
2010-01-01 12:00:10.157,10,13
2010-01-01 12:00:10.173,-6,4
2010-01-01 12:00:10.173,-1,11
2010-01-01 12:00:10.179,9,-12
2010-01-01 12:00:10.195,5,13
2010-01-01 12:00:10.201,13,10
2010-01-01 12:00:10.205,2,15
2010-01-01 12:00:10.206,4,-13
2010-01-01 12:00:10.215,-5,8
2010-01-01 12:00:10.239,-6,3
2010-01-01 12:00:10.245,-8,11
2010-01-01 12:00:10.246,-2,-4
2010-01-01 12:00:10.260,12,-7
2010-01-01 12:00:10.282,12,-12
2010-01-01 12:00:10.284,-5,-3
2010-01-01 12:00:10.289,-15,3
2010-01-01 12:00:10.291,2,-3
2010-01-01 12:00:10.303,11,-8
2010-01-01 12:00:10.317,-8,7
2010-01-01 12:00:10.339,-10,5
2010-01-01 12:00:10.364,2,6
2010-01-01 12:00:10.368,9,-4
2010-01-01 12:00:10.413,-8,9
2010-01-01 12:00:10.427,-3,8
2010-01-01 12:00:10.428,13,-12
2010-01-01 12:00:10.437,-2,0
2010-01-01 12:00:10.445,-5,0
2010-01-01 12:00:10.446,8,14
2010-01-01 12:00:10.451,0,-8
2010-01-01 12:00:10.454,-9,9
2010-01-01 12:00:10.461,8,12
2010-01-01 12:00:10.481,-6,2
2010-01-01 12:00:10.489,7,-12
2010-01-01 12:00:10.495,1,-2
2010-01-01 12:00:10.529,-7,3
2010-01-01 12:00:10.531,16,-7
2010-01-01 12:00:10.535,-7,13
2010-01-01 12:00:10.541,7,16
2010-01-01 12:00:10.550,-12,8
2010-01-01 12:00:10.553,-3,15
2010-01-01 12:00:10.565,16,-9
2010-01-01 12:00:10.567,2,-4
2010-01-01 12:00:10.569,3,-5
2010-01-01 12:00:10.591,15,3
2010-01-01 12:00:10.617,8,-12
2010-01-01 12:00:10.634,15,4
2010-01-01 12:00:10.637,-3,10
2010-01-01 12:00:10.640,-1,12
2010-01-01 12:00:10.651,8,-6
2010-01-01 12:00:10.658,3,5
2010-01-01 12:00:10.687,10,11
2010-01-01 12:00:10.694,7,-11
2010-01-01 12:00:10.702,14,-9
2010-01-01 12:00:10.710,-2,-2
2010-01-01 12:00:10.717,-7,16
2010-01-01 12:00:10.728,1,-6
2010-01-01 12:00:10.734,-1,-11
2010-01-01 12:00:10.736,-4,2
2010-01-01 12:00:10.757,7,-16
2010-01-01 12:00:10.771,16,-6
2010-01-01 12:00:10.772,-6,13
2010-01-01 12:00:10.791,-5,10
2010-01-01 12:00:10.795,5,14
2010-01-01 12:00:10.797,13,-5
2010-01-01 12:00:10.812,3,-10
2010-01-01 12:00:10.833,-9,-5
2010-01-01 12:00:10.837,4,-12
2010-01-01 12:00:10.842,10,-12
2010-01-01 12:00:10.852,-13,4
2010-01-01 12:00:10.858,14,14
2010-01-01 12:00:10.877,3,15
2010-01-01 12:00:10.905,8,13
2010-01-01 12:00:10.922,-3,-4
2010-01-01 12:00:10.924,5,-8
2010-01-01 12:00:10.924,15,8
2010-01-01 12:00:10.939,7,-1
2010-01-01 12:00:10.944,0,9
2010-01-01 12:00:10.962,-1,16
2010-01-01 12:00:10.963,-1,1
2010-01-01 12:00:10.965,-3,3
2010-01-01 12:00:10.970,-5,1
2010-01-01 12:00:10.974,5,-7
2010-01-01 12:00:10.975,2,16
2010-01-01 12:00:10.978,16,-16
2010-01-01 12:00:10.988,-1,-6
2010-01-01 12:00:10.996,-15,4
2010-01-01 12:00:11.009,16,12
2010-01-01 12:00:11.011,-4,3
2010-01-01 12:00:11.013,-13,-6
2010-01-01 12:00:11.014,-4,6
2010-01-01 12:00:11.015,1,-10
2010-01-01 12:00:11.017,-5,-5
2010-01-01 12:00:11.027,-10,11
2010-01-01 12:00:11.036,0,12
2010-01-01 12:00:11.041,-12,0
2010-01-01 12:00:11.054,13,4
2010-01-01 12:00:11.056,1,13
2010-01-01 12:00:11.061,-1,-14
2010-01-01 12:00:11.069,-4,-8
2010-01-01 12:00:11.069,-6,8
2010-01-01 12:00:11.079,5,-5
2010-01-01 12:00:11.086,3,10
2010-01-01 12:00:11.107,0,-9
2010-01-01 12:00:11.122,14,0
2010-01-01 12:00:11.126,-2,5
2010-01-01 12:00:11.128,-2,-5
2010-01-01 12:00:11.128,1,7
2010-01-01 12:00:11.142,-2,1
2010-01-01 12:00:11.153,-7,0
